adult,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count
False,526896,en,Morbius,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",330.562,2022-03-30,Morbius,6.046,4064
False,615777,en,Babylon,"A tale of outsized ambition and outrageous excess, tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films to sound films in the late 1920s.",328.69,2022-12-22,Babylon,7.411,2774
False,381288,en,Split,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",325.867,2017-01-19,Split,7.342,16850
False,699280,en,Becoming,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others.",325.548,2020-05-06,Becoming,7.4,146
False,807,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",325.528,1995-09-22,Se7en,8.373,20292
False,119450,en,Dawn of the Planet of the Apes,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",324.983,2014-07-08,Dawn of the Planet of the Apes,7.3,10758
False,9482,en,Judge Dredd,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.",324.312,1995-06-30,Judge Dredd,5.793,2299
False,856289,zh,封神第一部：朝歌风云,"Based on the most well-known classical fantasy novel of China, Fengshenyanyi, the trilogy is a magnificent eastern high fantasy epic that recreates the prolonged mythical wars between humans, immortals and monsters, which happened more than three thousand years ago.",321.632,2023-07-20,Creation of the Gods I: Kingdom of Storms,7.119,243
False,1701,en,Con Air,"Newly-paroled former US Army ranger Cameron Poe is headed back to his wife, but must fly home aboard a prison transport flight dubbed ""Jailbird"" taking the “worst of the worst” prisoners, a group described as “pure predators”, to a new super-prison. Poe faces impossible odds when the transport plane is skyjacked mid-flight by the most vicious criminals in the country led by the mastermind — genius serial killer Cyrus ""The Virus"" Grissom, and backed by black militant Diamond Dog and psychopath Billy Bedlam.",321.167,1997-06-05,Con Air,6.747,3973
False,654739,ko,발신제한,"On his way to work, a bank manager receives an anonymous call claiming there's a bomb under his car seat, and if anyone exits the car, it will explode unless he can pay a ransom.",320.616,2021-06-23,Hard Hit,7.677,175
False,299536,en,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",320.536,2018-04-25,Avengers: Infinity War,8.247,28830
False,1015303,en,Elevator Game,"Follows socially awkward teenager Ryan, who discovers that the night his sister disappeared she had played ‘The Elevator Game’ — a ritual conducted in an elevator in which players attempt to travel to another dimension using a set of rules that can be found online. Ignoring warnings, he resolves to follow and find her.",319.342,2023-07-12,Elevator Game,4.613,53
False,400928,en,Gifted,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",319.157,2017-04-07,Gifted,8.036,5206
False,284052,en,Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",317.515,2016-10-25,Doctor Strange,7.423,21542
False,2666,en,Dark City,"A man struggles with memories of his past, including a wife he cannot remember, in a nightmarish world with no sun and run by beings with telekinetic powers who seek the souls of humans.",316.502,1998-02-27,Dark City,7.323,2672
False,792307,en,Poor Things,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",315.868,2023-12-07,Poor Things,7.788,3259
False,15,en,Citizen Kane,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",315.393,1941-04-17,Citizen Kane,8.009,5291
